"","All.ages","Aged..10","Aged.10.20","Aged..20"
"n",93,27,64,7
"max n items listed",231,110,195,231
"min n items listed",3,3,9,51
"mean n items listed",85.77,51.93,91.84,150.62
"sd n items listed",47.1,30.56,39.82,60.24
